"s01_rs3","s02_rs3","s03_rs5","s04_rl3","s05_rl3","s06_rl5","s07_dl3","s08_dl3","s09_dl5"
585,591,678,695,693,701,562,691,686
557,334,545,691,698,707,679,690,685
574,551,654,693,684,698,696,688,692
548,583,546,701,696,704,692,694,710
577,594,630,683,717,696,691,702,712
590,564,724,693,703,723,702,694,691
575,545,564,696,697,682,708,695,683
582,564,627,710,683,696,696,679,710
550,571,545,688,694,695,675,688,694
562,563,531,715,695,696,692,697,706
581,574,741,691,698,731,701,688,705
579,601,605,690,695,701,689,697,711
655,645,651,553,696,699,699,714,700
569,577,566,689,709,694,689,690,697
566,558,660,693,694,701,710,692,688
556,595,695,680,698,701,697,688,693
587,555,558,700,703,704,702,689,708
578,560,527,700,627,704,715,694,690
561,598,667,682,696,703,698,677,699
584,593,968,692,715,715,686,679,710
663,590,630,698,687,698,714,692,706
605,568,748,686,682,693,697,697,681
620,566,592,687,686,724,682,700,697
559,562,641,693,689,693,705,682,705
554,618,711,697,711,690,687,697,705
612,565,560,690,703,495,734,680,692
608,580,573,703,711,697,686,689,489
594,546,679,688,711,706,679,681,689
566,559,690,587,683,696,686,681,709
588,712,778,695,676,704,681,689,691
589,574,687,721,699,709,705,699,704
592,555,796,695,712,503,682,684,780
600,564,585,691,699,694,697,678,768
586,568,723,690,707,721,688,701,700
577,575,643,688,695,698,832,694,698
595,594,532,733,684,702,709,690,698
555,565,677,558,683,708,688,582,701
601,645,628,701,696,699,792,700,698
587,618,614,689,696,692,715,696,703
589,641,666,695,697,699,690,696,703
590,634,719,697,663,694,703,683,704
565,642,582,685,715,701,680,710,689
600,561,653,695,701,707,694,724,690
593,572,681,688,699,707,710,687,694
563,599,603,688,708,692,683,696,699
600,572,603,692,694,714,705,689,703
559,559,652,700,702,704,705,688,703
645,567,613,694,696,708,698,677,495
565,561,671,787,696,696,695,687,699
568,576,907,682,699,714,684,690,695
615,565,539,698,712,708,686,689,704
572,560,608,703,702,695,691,714,698
595,543,611,695,707,698,702,696,685
609,746,626,694,689,698,690,685,694
559,560,548,696,692,701,694,694,699
559,574,815,702,695,703,713,691,491
546,574,620,701,701,708,725,691,697
603,555,641,699,715,704,701,694,738
630,552,535,709,690,696,702,695,713
624,608,597,696,701,704,575,686,704
574,578,603,701,695,695,695,672,708
558,552,726,697,704,706,706,683,718
590,551,559,687,685,687,684,708,703
622,575,688,695,705,703,698,670,699
574,547,712,716,695,700,704,687,709
587,555,614,700,728,700,690,689,702
583,554,752,700,684,700,703,690,714
650,560,673,692,720,697,698,695,697
614,670,656,694,681,699,695,691,698
577,563,684,683,686,701,708,698,704
565,594,569,692,716,704,698,692,701
597,655,533,760,708,698,683,684,702
557,563,544,700,698,693,709,690,698
567,559,738,705,685,704,688,706,699
695,538,532,699,707,688,685,692,701
586,683,624,698,761,699,691,678,696
604,552,554,681,706,717,699,696,710
578,566,531,685,694,720,697,721,698
557,561,653,690,703,690,704,686,708
569,617,583,578,690,705,711,668,692
602,705,625,687,690,716,708,680,680
574,575,649,677,698,703,692,707,694
589,575,581,687,702,695,742,693,705
618,569,614,665,719,698,683,686,698
606,582,683,689,735,702,689,683,699
563,580,605,705,705,695,696,687,697
560,571,672,719,674,705,688,712,704
864,546,622,833,683,701,694,681,713
563,569,747,680,698,703,714,688,686
878,640,555,680,701,708,683,699,697
572,568,553,687,710,692,681,693,708
631,741,563,699,699,712,707,690,699
581,696,646,679,697,711,698,693,699
608,575,598,693,700,700,686,693,698
593,561,658,696,674,696,697,694,704
571,678,755,692,712,700,696,697,705
594,886,690,748,682,703,689,652,710
610,587,664,694,695,698,697,689,686
573,593,549,689,699,731,688,693,685
559,582,636,718,694,700,690,684,705
620,584,568,679,689,690,689,684,699
557,1108,649,709,689,696,690,702,689
573,724,698,677,691,704,699,696,697
580,584,542,579,694,694,685,686,688
724,845,641,699,683,697,687,690,701
550,599,692,690,705,696,701,691,711
553,550,676,690,694,696,702,680,699
566,615,564,692,698,701,694,693,701
553,558,687,701,702,693,691,690,694
583,606,533,699,693,700,692,698,704
569,593,588,697,680,699,697,701,703
587,620,672,673,694,706,698,682,689
589,639,695,690,700,691,684,691,707
660,610,663,700,706,699,695,689,686
575,667,614,696,695,699,681,696,705
624,580,670,696,705,694,696,683,733
564,568,640,699,733,701,718,685,723
578,572,714,690,693,733,692,698,695
633,580,556,698,709,736,691,711,706
632,576,697,691,687,697,732,704,700
581,584,665,695,690,703,690,687,715
556,564,604,700,686,695,679,686,700
572,635,647,686,708,702,698,690,683
586,570,884,692,708,694,676,729,691
594,738,670,719,697,722,692,690,730
576,564,655,693,699,693,695,677,704
553,571,520,692,689,491,698,689,692
569,570,649,700,699,718,703,690,695
589,601,589,698,690,700,703,702,712
568,620,672,712,682,696,685,690,704
552,318,672,693,683,694,682,704,698
586,568,708,701,709,702,683,697,702
565,614,606,702,691,695,687,680,697
656,553,648,711,707,705,708,699,693
565,637,662,696,721,700,729,695,703
809,656,589,685,687,701,703,691,708
579,583,579,692,692,700,690,699,690
589,560,606,695,690,700,685,692,685
690,687,607,708,684,699,691,689,715
561,552,618,693,701,695,696,679,702
941,566,601,696,718,700,704,692,700
561,545,612,703,694,704,681,688,706
618,558,625,711,679,717,691,689,695
576,565,626,684,694,695,699,696,704
612,584,717,693,689,698,689,696,703
604,578,734,686,685,694,688,694,705
623,555,697,685,688,709,713,698,686
558,561,627,702,687,695,682,684,702
608,546,690,703,693,710,697,697,692
562,644,670,697,678,714,682,749,704
578,678,861,722,710,710,705,685,701
599,856,644,700,685,706,708,693,707
592,547,691,695,686,713,712,694,695
579,581,563,765,715,704,707,683,711
684,557,602,693,696,692,679,702,725
572,700,690,690,685,690,695,699,694
557,546,620,690,687,585,701,687,694
630,557,681,702,694,695,691,707,690
637,590,610,740,709,695,694,690,699
596,569,636,758,686,706,690,704,688
624,615,726,702,704,706,693,693,700
642,576,702,680,699,724,697,693,696
591,635,635,707,727,689,732,694,691
608,596,907,681,687,694,568,684,707
583,551,547,682,695,715,683,691,704
573,566,580,676,681,703,702,689,696
582,865,649,686,715,708,698,697,699
639,610,692,705,690,717,687,702,699
560,757,591,704,687,686,697,684,699
559,576,653,698,702,698,707,687,706
727,569,586,705,702,553,683,683,701
685,567,688,689,703,701,674,703,701
575,547,688,711,684,704,678,705,701
573,560,636,561,702,705,696,689,710
573,542,621,730,740,696,691,687,697
688,581,582,699,682,703,719,690,621
624,581,733,702,680,706,701,688,693
554,543,616,692,705,709,678,698,703
578,562,716,697,690,699,698,697,690
579,569,535,697,682,695,674,693,691
597,571,627,698,698,686,688,695,705
567,633,797,684,714,694,692,690,709
681,560,550,686,722,680,702,702,701
629,617,756,710,706,701,692,699,706
561,550,551,690,715,708,693,686,699
652,621,646,577,695,689,682,692,704
583,546,646,695,725,710,702,675,687
581,618,531,694,698,701,680,691,697
566,625,776,704,829,694,678,686,676
546,604,721,739,678,709,700,683,729
588,569,942,697,706,699,683,678,700
572,637,703,685,706,699,692,702,706
595,598,662,695,704,693,686,698,710
586,592,602,690,695,705,692,700,708
632,594,559,702,698,691,686,691,712
591,572,717,661,694,703,698,701,700
588,602,774,683,687,704,705,692,686
677,588,623,695,681,703,686,684,696
596,647,679,705,693,681,693,648,712
587,551,622,699,679,707,720,695,709
561,597,760,686,715,700,697,676,703
579,565,634,703,688,694,701,704,697
644,598,592,703,689,706,679,705,696
652,574,555,688,548,702,682,679,694
580,657,992,704,674,705,705,685,699
567,576,677,675,691,702,691,686,695
586,555,575,691,701,696,694,696,694
607,580,605,713,700,700,689,692,701
613,553,610,686,699,699,695,696,686
602,932,547,698,697,708,703,683,703
567,643,638,709,702,709,683,694,700
635,608,742,702,679,692,699,708,709
567,685,586,699,686,698,702,693,698
563,577,637,695,689,700,706,697,695
567,590,637,698,678,706,674,692,702
685,556,607,694,681,702,686,693,711
575,641,548,696,695,685,699,686,704
626,547,581,684,702,688,699,676,700
579,646,747,706,707,693,703,713,698
556,595,605,686,676,703,709,680,698
562,562,656,692,697,710,701,700,703
593,696,553,693,694,701,699,689,708
575,696,667,688,681,702,683,691,702
596,695,703,692,711,698,700,698,694
600,559,543,715,703,689,694,696,698
546,589,602,692,689,636,679,680,701
563,591,624,704,700,702,687,688,709
579,595,624,699,676,701,688,697,697
669,557,658,582,688,697,705,677,705
600,585,625,694,702,688,691,697,699
564,587,548,697,701,704,694,688,695
582,559,746,684,682,697,699,676,698
568,618,611,694,700,695,687,687,697
626,557,557,684,708,691,684,705,724
586,559,694,689,689,709,699,693,692
579,562,613,765,699,693,677,758,697
618,636,610,687,703,694,690,683,699
583,734,639,697,690,709,702,683,711
597,646,702,691,688,684,683,730,701
552,557,592,699,695,696,699,695,702
617,637,529,682,701,710,694,670,702
585,617,621,729,688,708,679,687,701
596,590,591,690,682,709,677,686,694
607,563,642,680,703,724,698,707,697
707,570,570,694,701,712,704,695,700
608,348,612,699,686,696,677,706,490
580,617,655,694,694,703,694,699,688
574,648,679,688,695,690,680,686,694
572,670,695,690,702,711,701,687,712
624,573,701,682,701,696,686,676,693
577,571,717,683,687,708,680,694,694
601,561,605,697,686,699,699,685,712
570,546,700,713,693,695,697,680,696
586,565,547,703,682,705,699,688,707
593,587,609,699,694,698,721,685,705
592,589,561,710,697,700,690,683,685
573,552,703,704,685,695,705,683,698
564,592,667,705,699,706,705,693,694
554,611,599,700,695,700,703,737,694
589,563,556,695,728,697,685,687,707
589,558,614,684,698,706,691,689,705
641,580,571,722,718,693,686,702,717
558,581,690,698,696,701,687,685,704
560,560,607,700,705,711,700,698,693
585,580,669,701,705,705,690,688,692
618,575,599,693,769,683,694,697,689
590,610,611,701,699,698,694,728,700
594,560,576,711,684,697,692,694,706
584,616,626,703,711,685,698,695,695
598,578,532,675,697,737,684,675,698
556,604,524,690,703,704,698,693,693
637,567,550,700,709,698,701,688,697
578,746,652,710,688,694,702,673,682
599,545,686,683,681,715,681,696,694
615,547,582,691,700,706,685,683,713
618,576,630,703,696,700,704,740,709
592,595,664,713,701,686,691,700,710
560,629,646,700,692,691,700,682,810
671,716,664,692,686,702,696,695,707
576,608,643,688,705,711,686,696,688
599,686,522,697,709,704,677,710,705
572,644,607,690,683,695,704,701,696
583,970,742,695,766,702,701,694,688
723,570,659,689,679,692,700,686,709
647,612,737,674,689,693,702,688,698
610,585,657,695,702,698,690,715,699
588,554,680,699,705,784,705,688,704
569,680,679,682,684,692,703,703,715
555,545,716,701,676,683,698,698,699
578,591,607,687,686,712,701,686,689
553,562,721,680,701,704,692,691,691
678,601,623,680,704,699,704,693,697
554,600,671,700,691,702,681,688,685
575,613,700,673,688,698,702,688,490
565,575,591,700,689,728,716,696,695
590,581,544,700,690,710,680,700,702
590,556,590,698,679,721,709,683,708
599,551,525,589,699,695,697,681,716
591,543,662,701,697,706,685,691,698
646,565,542,696,689,698,693,720,710
660,552,616,688,702,707,687,695,493
609,566,569,701,690,705,828,686,700
576,566,634,684,694,698,692,688,696
622,685,955,696,691,690,684,709,686
556,563,555,688,690,708,679,690,691
642,586,648,708,699,698,718,682,703
630,566,554,686,687,720,703,700,689
559,569,599,684,686,693,701,693,492
612,560,562,685,711,698,691,706,705
555,1125,642,697,698,703,685,693,690
566,575,721,701,692,701,685,700,698
564,597,676,692,693,795,692,699,688
571,587,712,683,692,710,696,702,710
580,610,576,684,729,703,683,677,696
622,566,697,684,681,711,697,699,697
565,586,627,678,720,702,565,681,694
598,585,593,679,702,706,701,626,707
692,569,606,710,696,699,704,705,700
597,647,560,698,688,701,689,688,710
565,561,654,707,689,711,706,694,698
592,555,609,702,697,691,684,681,684
606,623,573,706,696,707,683,707,732
736,608,746,706,685,706,699,687,702
597,607,553,692,690,690,692,695,703
619,689,558,691,683,711,704,693,696
643,565,567,691,695,696,690,687,686
585,555,618,693,691,691,694,544,707
597,557,643,693,686,704,706,672,698
656,552,649,700,686,702,695,686,692
569,561,540,707,691,703,683,693,697
560,592,559,688,709,695,741,708,733
552,611,593,692,684,702,692,688,715
559,610,664,675,690,513,685,693,698
642,581,694,699,705,700,702,683,695
666,573,695,695,682,697,680,687,692
565,596,611,684,738,692,690,693,590
634,326,723,687,680,689,702,691,712
555,590,606,697,699,629,740,683,490
556,551,684,686,687,688,701,683,693
572,566,747,683,691,711,687,684,699
618,611,630,706,698,700,579,687,716
565,578,658,710,706,702,699,755,491
607,582,555,707,685,702,698,697,694
595,601,742,700,697,707,697,685,700
697,592,640,702,693,491,695,689,707
576,653,667,692,682,702,678,686,740
605,629,632,699,698,704,703,694,698
621,554,572,684,689,685,700,690,703
602,567,541,694,680,700,690,692,702
561,621,545,708,694,712,680,762,691
578,730,650,676,704,713,680,690,693
718,551,678,694,730,691,684,749,696
580,620,650,698,680,711,691,709,699
578,589,539,693,718,723,737,682,727
571,566,718,715,692,709,686,681,716
602,602,586,688,691,703,690,696,704
557,584,570,698,695,711,684,690,696
603,539,680,698,699,723,680,678,686
554,580,565,707,695,687,685,692,700
586,570,622,675,710,707,704,697,707
568,601,648,761,679,709,714,699,708
644,548,761,681,679,698,697,692,707
599,563,668,681,690,693,707,688,704
597,589,622,676,709,734,705,677,700
601,614,577,681,710,690,700,701,708
585,574,717,680,698,702,681,700,513
758,585,645,702,703,708,689,687,689
625,575,691,696,708,690,688,696,698
560,580,561,696,684,685,721,699,699
622,582,703,694,680,596,683,689,711
645,563,565,698,709,706,701,674,700
631,550,562,710,700,693,724,689,695
596,603,659,706,698,707,668,698,705
570,657,538,682,685,698,689,685,709
581,663,653,627,694,492,692,700,688
600,578,663,707,704,706,679,697,699
570,569,585,687,686,715,704,682,705
592,600,660,709,704,701,679,689,715
566,628,720,716,699,686,694,672,700
636,639,556,717,707,705,673,553,705
607,634,666,686,693,705,685,686,697
615,554,556,699,694,695,666,642,699
567,667,684,686,704,701,703,689,716
559,576,313,688,709,707,681,674,698
579,544,835,694,699,695,682,687,707
575,550,634,685,685,729,690,700,688
581,563,644,625,701,704,699,691,696
584,558,663,704,693,694,701,682,691
577,595,838,696,700,700,678,689,687
621,552,610,684,696,709,693,680,701
610,558,710,700,695,687,702,685,701
683,568,586,696,697,697,721,682,689
741,565,656,688,679,692,687,693,707
629,561,558,677,729,688,734,706,695
581,598,661,701,681,724,697,688,702
571,581,578,683,681,705,692,675,702
604,561,646,682,693,695,704,673,699
557,733,579,702,732,751,721,701,698
751,561,707,703,719,662,689,681,699
566,585,623,693,723,694,695,677,703
606,560,528,695,726,697,705,697,695
554,630,582,684,705,686,715,689,699
590,563,630,632,717,707,694,688,706
899,619,664,705,677,703,693,697,686
1001,563,738,707,735,683,685,675,696
582,577,654,703,705,697,692,697,712
566,644,594,706,685,703,675,693,703
694,561,616,681,701,698,686,700,689
625,725,629,679,686,593,695,692,682
585,644,650,681,680,686,682,675,698
554,666,670,686,695,701,682,687,709
569,614,530,726,697,711,775,708,746
972,573,600,749,685,684,697,696,706
565,598,655,696,685,707,704,685,697
561,543,670,691,680,704,701,700,697
571,571,616,700,690,698,711,688,691
560,607,595,698,675,702,700,689,496
577,546,625,685,673,696,700,677,694
557,629,757,688,701,699,701,697,695
682,550,655,698,690,699,732,684,700
565,559,537,696,678,694,682,691,701
565,577,718,708,701,697,683,681,707
1073,599,657,712,695,703,702,695,694
584,569,620,708,688,707,705,688,699
609,561,718,699,708,700,685,695,706
601,552,600,700,683,703,719,695,698
564,584,692,690,694,697,705,680,713
574,556,584,713,707,687,682,680,693
626,568,609,686,688,720,691,693,696
592,724,648,690,699,703,703,683,706
621,565,610,713,695,698,699,683,704
626,590,662,714,695,705,697,685,705
596,635,682,675,701,699,688,685,693
607,603,542,737,696,703,688,698,490
626,685,658,690,688,691,683,688,699
554,558,623,689,700,696,701,695,703
599,564,544,700,698,687,695,691,689
574,600,609,689,686,698,712,701,704
565,576,881,697,711,705,696,672,698
556,581,560,695,686,711,699,686,704
592,569,591,707,706,689,683,699,690
823,560,724,697,700,704,679,691,703
559,612,677,699,688,694,704,699,703
576,593,569,673,707,698,698,679,691
586,577,566,683,677,696,685,684,699
566,633,601,692,596,708,690,683,710
679,572,694,686,740,702,687,689,686
635,584,641,690,706,702,687,701,707
594,603,635,696,688,713,686,695,704
560,599,603,685,698,690,696,694,701
564,611,583,696,687,692,685,703,694
558,619,579,684,698,720,686,677,698
639,678,625,707,703,696,708,690,693
613,566,585,703,729,693,701,694,695
554,954,550,717,683,702,700,681,709
549,589,656,707,698,709,688,695,692
590,555,572,689,690,702,679,691,704
551,562,604,647,685,704,679,688,704
554,735,605,704,693,704,678,704,701
552,567,642,706,712,707,684,684,702
563,566,650,700,683,699,688,689,691
747,587,620,700,706,704,683,691,708
584,578,594,702,720,692,684,682,697
588,547,629,688,702,701,690,702,694
578,618,644,697,693,708,683,692,709
637,600,814,703,693,701,703,697,492
552,553,725,702,695,704,692,692,701
570,582,580,685,694,694,696,682,703
685,630,617,705,687,709,701,676,610
587,576,662,698,682,687,739,701,700
588,565,714,709,697,703,703,690,702
547,648,759,694,698,705,692,709,690
801,612,550,675,666,701,695,689,699
710,618,613,697,684,719,671,687,710
576,614,592,694,703,705,680,690,692
611,581,644,686,737,705,689,675,691
569,562,712,680,694,720,686,679,698
595,563,686,692,695,702,704,677,703
713,584,628,677,566,696,681,692,696
548,557,721,695,709,677,708,680,701
561,589,607,696,686,708,683,675,699
578,576,614,692,693,690,692,685,706
629,559,641,691,686,707,684,703,698
700,823,611,685,713,705,688,685,709
566,737,600,704,701,606,689,707,683
559,568,618,666,696,725,694,685,701
631,605,828,683,702,700,695,674,697
619,729,549,694,682,702,697,680,682
651,600,607,694,696,494,688,690,703
577,558,684,685,679,692,702,693,702
582,592,590,699,697,709,701,689,691
581,549,550,683,704,699,683,696,713
608,778,593,702,696,703,679,697,708
575,640,645,729,688,700,688,689,698
639,566,566,684,679,723,687,694,697
560,560,670,697,690,689,699,684,707
587,607,595,701,695,704,711,687,698
557,701,539,689,678,704,716,687,694
564,582,661,687,698,697,695,705,695
654,575,595,696,710,712,702,675,703
583,620,598,694,698,705,703,688,696
555,590,589,694,702,703,691,694,730
566,614,532,705,686,705,694,687,701
626,574,779,689,705,715,697,673,699
573,573,720,687,684,702,677,696,708
623,554,628,693,687,703,712,700,698
559,640,534,708,684,705,689,692,689
596,625,672,694,695,710,679,690,702
573,580,658,703,692,703,696,698,502
558,569,750,694,695,689,688,709,705
668,553,604,677,694,686,680,679,698
569,598,651,709,708,683,705,703,698
630,606,705,672,689,689,689,688,698
568,603,656,709,694,695,703,699,693
588,582,602,687,679,706,707,695,719
577,555,615,695,706,704,712,696,711
688,549,634,682,697,698,682,699,694
628,562,618,680,693,700,775,695,705
572,584,641,695,703,709,698,694,706
557,594,609,710,688,722,693,687,696
620,636,711,721,700,703,704,679,707
683,591,581,686,694,704,677,699,702
658,735,565,709,697,707,826,691,692
713,588,652,690,704,701,693,722,711
553,573,627,684,693,714,683,687,689
655,591,646,692,699,711,686,687,691
615,563,598,678,700,702,702,719,698
839,684,751,679,699,719,678,695,718
581,597,562,752,688,708,680,683,699
544,567,571,717,713,698,719,703,714
616,587,567,688,658,703,690,730,711
616,582,555,692,694,704,721,692,526
845,578,648,674,683,706,693,699,708
711,705,621,708,696,689,704,700,699
573,548,557,705,700,701,696,693,695
598,572,653,701,694,705,678,689,701
619,590,716,697,696,722,696,695,697
566,552,669,688,692,686,697,701,696
633,560,634,680,692,716,718,692,694
582,556,646,697,686,707,694,682,718
571,551,774,683,713,691,774,701,720
744,636,578,707,710,703,708,704,714
613,579,604,707,691,706,693,673,699
633,568,748,709,704,695,693,693,702
611,549,592,705,702,791,706,703,706
590,674,656,697,689,697,695,693,701
597,620,627,696,705,698,705,692,698
587,579,629,701,694,687,692,692,696
585,564,699,676,693,697,697,703,698
584,587,666,689,716,702,710,687,691
561,600,628,698,686,687,696,668,689
640,563,648,745,704,701,719,703,711
553,586,646,703,665,700,677,693,709
590,668,697,688,693,706,706,689,708
604,621,536,684,703,714,709,701,699
586,641,699,699,696,696,688,685,708
301,613,538,695,690,703,692,681,715
589,682,640,693,704,701,687,699,687
615,562,742,678,696,701,701,699,696
629,564,597,678,707,714,711,688,701
558,582,571,695,700,687,687,695,720
606,759,587,700,700,692,696,684,707
766,703,567,706,691,696,689,707,700
633,590,589,677,681,708,696,694,696
585,564,616,702,697,711,681,695,700
600,584,592,693,719,699,687,694,700
644,591,697,703,699,693,716,699,696
654,563,667,682,699,699,691,697,701
579,569,574,696,689,707,684,689,700
560,591,657,696,700,692,693,693,688
570,717,578,709,709,701,692,685,688
559,541,690,707,684,713,720,692,717
556,551,642,690,689,699,691,689,696
616,625,593,706,695,693,694,672,706
588,617,750,693,694,718,702,676,699
620,544,689,716,694,690,686,680,703
612,544,642,704,691,699,687,735,715
672,591,666,682,701,691,692,693,699
625,609,659,682,684,697,701,677,686
637,583,604,694,677,698,689,688,708
574,591,680,686,707,695,534,695,710
562,550,705,695,697,689,686,694,490
606,571,593,708,726,708,761,676,694
584,620,693,717,682,704,687,683,735
572,561,669,708,677,692,678,695,721
700,546,553,689,701,692,690,1211,687
632,605,708,699,685,694,695,691,710
560,567,538,687,695,690,686,683,707
613,542,667,693,691,704,771,690,699
567,604,811,610,697,693,701,814,687
664,592,600,690,692,689,700,703,705
568,564,636,696,685,698,700,692,710
644,574,567,724,689,710,578,696,710
922,820,621,692,691,707,682,688,695
598,565,615,686,689,712,706,690,700
573,570,626,682,716,699,692,680,710
558,727,578,705,575,702,709,691,695
557,608,659,713,698,689,701,686,699
597,650,580,689,690,697,683,676,705
574,595,718,678,687,699,689,677,698
586,573,635,686,679,694,692,689,703
627,670,614,705,694,707,698,687,698
572,677,588,691,699,696,720,687,718
559,597,572,702,690,704,677,681,694
673,677,588,698,696,699,709,688,697
553,560,714,706,693,698,706,692,703
583,822,565,708,697,709,684,692,700
608,587,540,703,688,705,704,676,689
604,693,602,706,703,713,685,681,693
576,560,548,695,685,690,704,685,705
586,610,670,703,687,702,693,676,696
582,610,636,697,692,706,744,696,702
606,574,618,705,698,687,683,704,703
594,663,596,696,696,694,716,697,707
588,571,571,689,711,689,694,699,695
574,607,696,672,713,694,686,703,706
572,612,659,678,696,698,699,703,697
599,596,655,702,692,696,704,682,689
696,563,618,687,705,696,700,692,706
577,607,640,690,684,701,713,694,709
1008,574,681,722,695,694,680,766,700
551,569,648,693,675,699,684,687,709
561,604,674,704,707,706,692,696,701
582,568,651,683,690,697,687,683,704
626,545,567,675,711,695,682,696,699
569,551,593,680,685,688,685,689,703
605,787,726,699,686,697,699,694,699
578,543,777,709,693,699,700,693,695
606,555,705,687,698,719,693,688,693
574,597,589,692,702,719,702,693,691
563,596,631,692,706,705,696,678,693
634,621,573,680,699,706,679,695,708
655,564,618,686,697,490,686,676,697
648,664,632,692,728,701,689,680,697
597,670,551,690,679,705,695,700,706
584,553,680,691,581,695,679,690,711
702,650,532,680,686,698,705,701,695
704,584,657,695,717,704,681,687,699
554,575,736,679,717,691,692,690,704
547,546,546,692,703,705,691,690,693
683,572,547,696,724,698,704,686,702
561,613,717,691,694,717,688,682,701
583,594,668,701,711,694,684,697,708
570,568,690,685,685,710,696,706,704
578,568,604,683,698,546,686,687,595
593,564,642,695,696,708,725,680,703
558,609,659,695,680,705,709,700,708
581,587,569,699,673,708,705,686,691
590,751,600,586,697,706,700,696,699
670,557,625,694,699,712,723,686,694
588,581,651,699,711,707,692,694,698
642,595,633,680,707,490,690,683,706
585,577,549,701,689,693,696,687,729
574,577,558,732,719,704,704,690,708
